ProtA	ProtB	BeadsA_Contrast_1000_fraction_99.txtmodifed.txt.Bayes3	BeadsBNF_Contrast_1000_fraction_99.txtmodifed.txt.Bayes3	BeadsALF_Contrast_1000_fraction_99.txtmodifed.txt.Bayes3	BeadsB_Contrast_1000_fraction_99.txtmodifed.txt.Bayes3
P49181	Q20754	0.0305313011067	0.660384098514	-3.54603180311e-19	0.0
G5EC87	Q9U2X0	-0.00199868612394	0.0	0.611444275827	0.0
P47208	Q17334	-0.0373947245513	0.0	-1.95169588879e-19	0.510453975116
Q21284	Q95QU1	0.0	-0.0450532562247	0.501260038587	0.0
O17836	Q9N5U5	0.00725869487169	0.0	0.0	0.656327389238
Q17542	Q18490	0.765334991932	0.0	0.0	0.0
Q69Z09	Q95017	-0.029400183466	0.0	0.666436746829	0.401298869398
G8JY05	Q93714	-0.0515349509325	0.0	0.0	0.630762204417
O02266	Q21284	0.0	-0.0303524989012	0.569739156311	0.0
Q23449	Q23629	0.0	0.640529393675	0.0	0.0
P34492	Q21276	-0.0306015785614	0.561765020346	0.0	0.027885837898
O17687	O17901	-0.0475233794758	0.0	-2.26733545799e-18	0.746475560333
P43508	Q95XF6	0.544161239629	-0.0311306874795	0.0319646800482	0.0849721259793
Q22666	Q22966	0.0	0.582608476368	-0.0162961330074	-0.0298331403563
O16784	Q19087	0.625319108447	0.0	0.0	0.0
P47991	Q19328	-0.0505764752732	-0.0195321677446	-0.0156664993102	0.527740274371
P34339	P52713	0.640529589538	0.0500856987631	0.0805160807815	0.0461803634791
P34339	P52717	0.00399869946786	0.527146695906	-0.0370324309185	-0.0567060056498
B5BM32	Q86MG4	0.0	0.0	0.0	0.545025587279
Q18115	Q21624	0.731106693608	0.0	0.0	-0.0559029737434
P34329	Q09541	0.576126374478	0.0784778410945	0.0	-0.032177994859
O02168	Q9XXA2	0.0	0.0	0.0	0.558341856784
Q23642	Q9U2M8	0.0161505392847	0.0	0.0	0.547830140029
H9G2T4	O76407	0.0	0.846660877164	0.0	-0.0469382747553
O17721	Q94272	0.0	0.0	0.588452184495	0.0
P91453	U4PAP4	0.514337789918	0.0	0.0	-0.0421464723449
Q23258	Q95QR6	0.0	0.0	0.0	0.752251617365
P02567	Q95Y04	-0.0451991864395	-0.00569191444579	0.00374754703298	0.820131973563
P34183	P34574	0.565153007924	0.0	0.0	-0.0324552021297
A0A061AD21	B3CJ34	0.0	0.0443403023278	-0.0367443221094	0.622391567818
H2KZ18	Q19289	-0.016642127256	-0.0521194715126	0.000452100639854	0.598768210487
G5EBP4	Q9BL15	0.0	0.0	0.708809883985	0.0
P34480	P34714	0.0	0.0	0.0	0.51443474417
Q9N5B3	Q9NEZ8	0.813523349469	0.00531874463315	0.0867220538474	0.0
Q22369	Q9BL19	0.0	0.504740649375	0.52728704219	0.0
G5EEW3	O45934	0.580605430925	-0.0416960382189	-0.00864292560186	0.0
O17953	Q21243	0.699066913758	0.0	4.32844425213e-18	-0.00870460957861
D0PV95	Q21057	-0.0294242747596	0.00468658600693	0.534992222739	-0.0414117564433
P92005	Q9UAQ6	-0.043049702866	-0.0277650431856	0.556437134375	0.0
G5ED95	Q23158	-0.0448590827496	0.0	0.769301934982	0.0
G5ED31	P49197	-0.0184102139976	-0.0422474943593	0.0	0.680529606347
H2KMI9	Q9XWP7	0.593250824405	0.0133684818283	0.0	0.0577076469999
O61217	Q10663	0.0	0.0	0.273331062608	0.528585200815
P34462	X5LVA5	0.867630795523	0.0	-0.0565459286397	-0.0122984193971
P91453	Q23460	-0.0408363320954	0.0	0.0	0.666371908234
G5ED27	Q17967	-0.0390843863283	0.525395210078	-0.0498881760402	-0.0609041593735
O44451	W6E8Z9	0.70201992519	0.0215547943119	-0.0548003804808	-0.0594090266241
Q18231	Q18359	0.0	0.719333906222	0.0	0.0
P34383	Q7JMA4	0.806835292788	0.0	0.0	0.109474013036
Q10013	Q95X83	0.0	0.0	0.0	0.694509598688
O44739	Q9TZQ3	0.613947212395	0.0	0.0	-0.0549742746637
D9PTN8	Q95X44	0.506615331333	0.0	0.0	0.0
O18054	P42170	0.0	0.0	0.605659224945	0.0
Q05036	Q09531	-0.0291022128545	-0.0415634158796	0.65482202667	0.0
P09446	Q95XR1	0.0	0.347016968254	0.514881574791	0.0
Q21601	Q9U210	0.0	0.752306185176	0.0	-0.0326516991616
B6EU49	W6RY49	0.0	-0.0357047424546	0.665105323787	0.0
O17759	Q93615	0.697174909638	0.0	0.0	-0.00322917906317
Q9N477	Q9N5S7	0.648566930462	-0.0390781381612	0.0	-0.0393958051331
P19626	Q9NA78	0.0	0.0	0.0	0.629948504602
B7WN95	Q8IG68	0.0	0.687918151944	0.0	0.0
O18215	Q9TXP0	0.0	0.698597004146	0.0	-0.0327009705123
P17329	Q6A589	0.529173171484	0.0	0.0	0.266361441772
O17643	Q9XVH6	0.0	0.0	0.0	0.575597626226
D3YT46	Q20502	0.0	0.0	0.0	0.556395622549
P36609	Q22101	0.65075341884	-0.00909626662242	-0.0797275329146	0.0
O62140	Q9XWH0	0.682073432106	0.0	0.0	0.0
P28548	Q7K797	0.0804669077364	-0.00911541232002	3.10732435719e-34	0.59037930156
G5EFG3	H2L0I3	0.0	0.636416101551	0.0	0.0
Q86S16	Q9XTI0	-0.0379588173277	0.547687458066	-0.0492077480053	0.0
O01869	Q20222	0.703100427667	0.0	0.0	-0.0538184049149
O01869	Q20224	0.0	0.509851699056	-0.0275288563089	0.0
P36609	Q8MNT7	-0.0312057621123	0.826577271692	0.28155384391	0.00205025496047
O01497	Q20173	0.881300782641	0.0	0.0	-0.0170955896153
O17954	Q19853	0.0	0.388184215769	0.555058087461	0.0
G5EDE8	Q9N3F2	0.0	0.771311107174	0.0	0.0
Q18115	Q9U1W1	0.786384276904	0.0491228257595	0.0	0.291412112429
P10984	U4PF73	0.0	0.623877760982	0.0	-0.0555475548209
Q20140	Q27522	-0.0401392969746	-0.0374588892825	-0.00512326773266	0.722395682321
Q21266	Q9XW16	0.0177452509605	0.0	0.780266697853	-0.0276981454319
H2KZV5	O45148	0.0	0.620063581368	-5.97635276666e-19	0.0
D5MCQ2	Q18688	-0.0333390131785	-0.0395883887294	0.668117679466	-0.0339752149957
O45097	Q09EE7	0.0	0.0	0.0	0.748600398394
H2KYJ5	Q21854	0.0	0.0	0.0	0.605871644689
Q21465	Q965Y1	0.0161505669842	0.0	0.394782363835	0.589538762821
P06125	Q2Q3C7	-0.0275603228938	0.753676612573	-0.0109030564583	-0.0655051014636
O62334	Q9TZS5	0.0	-0.0401703583207	0.543460990427	0.0
P52275	Q9NAM7	0.0	0.561514574927	0.00549446654272	0.0
Q86D12	Q9GYS8	0.638233678412	0.0	-0.015030155903	-0.0344579048819
Q17963	Q9N5T2	-0.0409964846802	0.0	0.0	0.56061216926
Q94123	Q9U3L4	-0.0342658929117	0.0	0.0	0.615095137403
P19974	Q17348	0.0	0.0	0.0	0.517027639333
P52011	Q95ZS5	-0.048116330461	0.612516782995	0.000829245404122	-0.0343476055619
Q21000	Q22531	0.0	0.65590852849	0.0	0.0
Q27527	Q9BKU8	0.212441664645	0.0	0.0	0.517459710598
Q86NF3	Q9U1X0	-0.0317057307131	0.0	0.0	0.607929290964
P52011	Q9XWP7	-0.0351925484172	0.617225321824	-0.00258025897832	-0.0496196511467
Q21770	Q9N5T2	-0.0231029110317	-0.0246646869305	0.770614723985	0.140258744033
G5ECU5	Q9XXC8	0.0	0.0	0.0	0.642410352466
Q09486	Q21266	-0.034205048757	0.0	0.0	0.594707411661
P21137	Q23232	-0.0374933608758	0.0	0.10340685695	0.897408419413
Q9N4J2	Q9XVF7	0.634138550358	0.205783372057	0.00829982526095	0.028444034746
G5EDD8	H2KZ87	0.55168001474	0.0	0.0	0.0
Q09531	Q09EE7	-0.0313828051871	0.0595331129942	0.677319620246	0.0
O76836	Q9UB29	0.0	-0.0462424992066	0.763902558113	-0.0735338312538
O62137	Q17334	0.77681258987	0.0	0.0141431076502	-0.0102177444544
O17939	O62053	-0.0292278181948	0.0	0.554350263743	0.0
H2KZG6	P54812	-0.035751040145	0.0	0.505761935808	-0.0307212235383
G5EFK4	Q19324	0.0800081498919	-0.0442132045698	0.682307300702	-0.0369423108654
B6EU49	P34343	-0.032400843501	0.0	0.0	0.653083743804
Q20819	Q9N5B7	-0.0412870687904	-0.0426359448564	-0.0315608106455	0.67050925329
O02640	P91154	0.613725189468	0.411262279835	-0.0380467536516	-0.0339942357581
O62477	Q22135	0.0	0.875022545179	0.0	0.0
O45934	Q23451	0.822009805073	0.00887554840829	0.104824869247	0.0
P34544	Q9U9I9	0.0	0.0	0.0	0.655180650526
