225;File;309	G5ED07,P09446,Q09390
6;File;9,274;File;374	Q19826,Q17558,Q8MYM8,Q17684,Q9N5K2,Q95QG8,Q9XVH6
197;File;272	Q9N3D9,Q21233,Q9BL03
322;File;440	Q9N4I0,P58798,O61861,Q9XWV3,Q8WTM6
134;File;191	Q95QG8,P46580,Q17558
141;File;199	Q86D99,Q9GYJ9,E2JKZ0,Q23146
113;File;163	Q9NA98,P34686,P34685,Q09248,Q9GYR2,Q9N4I1,Q18194,E2JKZ0
69;File;90	Q10013,G5EG22,P46580,Q17348,Q18786
298;File;408	Q23402,Q10013,Q21443,P91277,P92022,O01806,P10984,Q95XD4
0;File;0	P91374,A3QMC5,Q966C6,Q21930,P34334,Q9U2A8,O02639,O62106,P91913,O01504,P91914,O44480,P49180,P49181,P91128,Q9XVE9,Q22716,Q17606,Q9N4I4,O01802,P61866
79;File;110	P27798,P27420,P62784,Q9NLD1,Q9N5R9,Q95QW0,O01806,O16305
155;File;215	Q21831,P46580,G5EF53
313;File;424	Q9U1W8,Q23543,P92022,Q20229
92;File;129	B5BM24,B5BM25,B5BM23
218;File;302	Q20206,P47991,O02056,Q18688,P51404,Q9XVF7
244;File;332	Q17558,Q9XTV4,P52652
150;File;208	P10984,Q21831,G5EEY5
46;File;61	Q9NEN6,P90983,O45499,O01869,P46769,P48152,Q1XFY9,Q19877,Q95Y04,P49041,O17218,O18650,P48150,Q9XVP0,Q20206,P48154,Q22054,P48156,Q20228,P49197,P49196,P52821,Q9N3X2,O18240,Q8WQA8,P37165,P51403,Q23312,P51404
61;File;78,152;File;211,50;File;66	Q17558,Q21831,G5EF53
145;File;203	Q9XWI6,Q9BL61,O01763,Q93594
300;File;411	Q03577,Q09996,Q23315,Q21926,O62431,Q22099
223;File;307	O01602,Q9N3D9,Q9N4L8,Q20719
188;File;260	O62106,G5EES3,Q966C6
48;File;63	P10984,P90916,Q21831
242;File;330	Q21233,Q9N4Y8,Q9N4L8,Q17880,Q20719
